entity_id,group_id,signature,entity_type,simple_name,qualified_name,file,start_line,end_line,block_id,observed_products,resolution_status
"E50","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","waterWallWidth","MapInfo.waterWallWidth","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",39,39,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E51","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","waterWallHeight","MapInfo.waterWallHeight","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",40,40,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E52","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","enemyLocation","MapInfo.enemyLocation","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",41,41,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E53","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","enemyAllNr","MapInfo.enemyAllNr","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",42,42,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E54","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","enemyMaxNr","MapInfo.enemyMaxNr","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",43,43,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E55","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","enemyTy","MapInfo.enemyTy","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",44,44,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E56","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","CONSTRUCTOR","MapInfo","MapInfo.MapInfo","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",45,49,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E57","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","METHOD","readMap","MapInfo.readMap","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",50,131,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E58","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","CLASS","MIDlet","MIDlet","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset12",9,10,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset12:IF:8-10","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E59","G10","TankWar_P1|TankWar_P4|TankWar_P5","CLASS","Maler$$fuer_PC","Maler$$fuer_PC","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",28,358,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:26-28","TankWar_P1|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E60","G17","TankWar_P3","CLASS","Maler$$fuer_PC","Maler$$fuer_PC","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",31,358,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:29-31","TankWar_P3","RESOLVED_INTERNAL"
"E61","G12","TankWar_P2","CLASS","Maler$$fuer_PC","Maler$$fuer_PC","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",33,358,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:32-33","TankWar_P2","RESOLVED_INTERNAL"
"E62","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","FIELD","images","Maler$$fuer_PC.images","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",35,35,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E63","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","CONSTRUCTOR","Maler$$fuer_PC","Maler$$fuer_PC.Maler$$fuer_PC","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",36,38,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E64","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","METHOD","drawImage","Maler$$fuer_PC.drawImage","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",39,353,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
"E65","G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","METHOD","loadimage","Maler$$fuer_PC.loadimage","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",354,357,"C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_INTERNAL"
